tconst,primaryTitle,startYear,region,language,directors,writers,cast_crew,categories
tt4775430,Khalnayok,1996,BD,,nm5069060,nm5069060,"['Ali Akram Shuvo', 'Champa', 'Dolly Johur', 'Jumbo', 'Manna', 'Miju Ahmed', 'Montazur Rahman Akbar', 'Prabir Mitra', 'Rajib', 'Sadek Bachchu', 'Saifur Rahman Robi', 'Songeeta']","['actor', 'actress', 'composer', 'director', 'producer', 'writer']"
tt4777008,Maleficent: Mistress of Evil,2019,BD,en,nm1461392,"nm0941314,nm1406764,nm2873116,nm0674518,nm0052520,nm0382548,nm0670328,nm0672093,nm0727370,nm0780799,nm0942723","['Angelina Jolie', 'Charles Perrault', 'Chiwetel Ejiofor', 'Craig Wood', 'David Gyasi', 'Duncan Henderson', 'Ed Skrein', 'Elle Fanning', 'Geoff Zanelli', 'Harris Dickinson', 'Henry Braham', 'Jenn Murray', 'Joachim Rønning', 'Joe Roth', 'Laura Jennings', 'Linda Woolverton', 'Micah Fitzerman-Blue', 'Michelle Pfeiffer', 'Noah Harpster', 'Patrick Tatopoulos', 'Reg Poerscout-Edgerton', 'Robert Lindsay', 'Sam Riley']","['actor', 'actress', 'casting_director', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'production_designer', 'writer']"
tt4779518,A Walnut Tree,2015,PK,,nm4989488,\N,"['Ammar Aziz', 'Danyal Rasheed', 'Khushboo Agarwal Raj', 'Rahul Roy', 'Rakae Jamil']","['cinematographer', 'composer', 'director', 'editor', 'producer']"
tt4786222,Maya,2015,PK,,nm3220988,nm7401790,"['Afzal Hussain', 'Ahmed Abdul Rehman', 'Anum Malik', 'Hina Jawad', 'Jawad Bashir', 'Sheikh Mohammad Ahmed', 'Zain Afzal']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'writer']"
tt4804352,Big Boss,2003,BD,,nm5069060,"nm5069060,nm4683293","['Abdullah Zahir Babu', 'Alauddin Ali', 'Fokira', 'Kabila', 'Lal Mohammad', 'Manna', 'Miju Ahmed', 'Misha Sawdagor', 'Montazur Rahman Akbar', 'Mousumi', 'Moyuri', 'Shahin Alam', 'Touhid Hossain Chowdhury']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'writer']"
tt4805726,Maya,2022,PK,,nm4673342,nm4673342,"['Aisha Farhan', 'Areeb Shaikh', 'Faheem Uddin', 'Intezaar Fatimah', 'K. Pervaiz', 'Madiha Hidayat', 'Ramsha Shaikh', 'Shumaila Nofil', 'Umama Pathan']","['actor', 'actress', 'cinematographer', 'director', 'editor', 'producer', 'writer']"
tt4816152,Dekh Magar Pyaar Say,2015,PK,,nm7421661,"nm6435028,nm6514683","['Ali Murtaza', 'Amna Ilyas', 'Aqdas Waseem', 'Asad Ul Haq', 'Beenish Umer', 'Fatema Gain', 'Hashim Ali Choudhry', 'Humaima Malik', 'Ijlal Khan', 'Irfan Khoosat', 'Nicholas D. Knowland', 'Saba Imtiaz', 'Sikander Rizvi', 'Syed Falak', 'Yasir Khan', 'Yong']","['actor', 'actress', 'casting_director', 'cinematographer', 'director', 'editor', 'producer', 'production_designer', 'writer']"
tt4833384,Agnee 2,2015,BD,,nm5381630,nm13251700,"['Abdul Aziz', 'Akassh', 'Amit Hasan', 'Arifin Shuvoo', 'Iftakar Chowdhury', 'Josem M Adams', 'Kaushik Banerjee', 'Kharaj Mukherjee', 'Mahiya Mahi', 'Md Amjad Hossen', 'Olya Petryk', 'Om Goswami', 'Tiger Robi']","['actor', 'actress', 'archive_footage', 'composer', 'director', 'producer', 'writer']"
tt4850080,Protiruddho,2016,BD,,nm4420574,nm4420574,"['Abir', 'Amit', 'Khijir Hayat Khan', 'Quazi Nawshaba Ahmed', 'Refayet Khan', 'Robin']","['actor', 'actress', 'composer', 'director', 'editor', 'producer', 'writer']"
tt4853244,Rickshaw Girl,2021,BD,,nm2755490,"nm2083226,nm10105274,nm7985799","['Abdul Aziz', 'Allen Shubhro', 'Amitabh Reza Chowdhury', 'Champa', 'Debojyoti Mishra', 'Eric J. Adams', 'Faridur Reza Sagar', 'Mitali Perkins', 'Mohammad Rafi Sumon', 'Momena Chowdhury', 'Naresh Bhuiyan', 'Naseef Amin', 'Navnita Sen', 'Niclas Ribbarp', 'Novera Rahman', 'Sharbari Z. Ahmed', 'Siam Ahmed', 'Tuhin Tamijul', 'Yxngj.o', 'Ziauddin Adil']","['actor', 'actress', 'casting_director', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'self', 'writer']"
